Name,Nation,Tier,Class,Battles,WN8,WR,DPG,Frags,DMG ratio,K/D,Survival,Spots
LocustLocust,usa,III,LT,1,1318,100.00%,326,0,0.67,0,0.00%,4
GSOR 1008GSOR 1008,uk,VIII,TD,1,1084,100.00%,1134,1,Infinity,Infinity,100.00%,0
Škoda T 56Škoda T 56,czech,VIII,HT,1,970,100.00%,1056,2,0.64,2,0.00%,1
Super ChaffeeSuper Chaffee,usa,VI,LT,1,785,100.00%,342,0,Infinity,NaN,100.00%,4
STGSTG,ussr,VIII,MT,1,1204,0.00%,1203,1,0.89,1,0.00%,0
SheridanSheridan,usa,X,LT,1,261,100.00%,206,1,0.13,1,0.00%,0
S. ConquerorS. Conqueror,uk,X,HT,1,261,100.00%,0,0,0,0,0.00%,0
Leopard 1Leopard 1,germany,X,MT,1,588,0.00%,1311,0,0.71,0,0.00%,2
AMX ELC bisAMX ELC bis,france,V,LT,1,0,0.00%,0,0,0,0,0.00%,3
FV4005FV4005,uk,X,TD,1,1328,100.00%,1628,1,1.57,Infinity,100.00%,1
T110E3T110E3,usa,X,TD,1,888,100.00%,1472,0,0.66,0,0.00%,0
E 100E 100,germany,X,HT,1,1820,100.00%,2294,1,0.77,1,0.00%,0
UE 57UE 57,france,III,TD,1,2015,0.00%,529,2,2,2,0.00%,0
Lorr. 155 51Lorr. 155 51,france,VIII,SPG,1,1480,100.00%,1227,2,3.15,2,0.00%,0
LuchsLuchs,germany,IV,LT,1,4243,100.00%,676,3,1.19,3,0.00%,4
LeopardLeopard,germany,V,LT,1,132,0.00%,130,0,0.22,0,0.00%,0
AMX 13 F3AMX 13 F3,france,VI,SPG,1,1418,100.00%,1050,0,50,NaN,100.00%,0
UDES 03UDES 03,sweden,VIII,TD,1,1056,100.00%,1002,1,1.5,Infinity,100.00%,0
